,time,open,high,low,close,tick_volume,spread,real_volume,data,M9,M20,M200,ADX
97,1636946160,1.14579,1.14585,1.14574,1.14584,17,5,0,2021-11-15 03:16:00,1.1457177777777783,1.1458545,,43.55088362458428
98,1636946220,1.14584,1.14585,1.14572,1.14572,9,5,0,2021-11-15 03:17:00,1.1457266666666672,1.1458465000000002,,42.47676046657872
99,1636946280,1.14572,1.14574,1.14566,1.14566,24,5,0,2021-11-15 03:18:00,1.1457344444444448,1.1458320000000002,,40.78030299230072
100,1636946340,1.14566,1.14568,1.14556,1.14557,27,5,0,2021-11-15 03:19:00,1.1457122222222225,1.1458135000000003,,38.18524461040266
101,1636946400,1.14557,1.14562,1.14552,1.14552,20,5,0,2021-11-15 03:20:00,1.1456933333333335,1.1457715000000002,,35.50733758043638
102,1636946460,1.14552,1.14566,1.14552,1.14565,19,6,0,2021-11-15 03:21:00,1.1456911111111114,1.1457525000000002,,33.28374521134119
103,1636946520,1.14565,1.14565,1.14558,1.14561,30,5,0,2021-11-15 03:22:00,1.1456822222222225,1.1457300000000004,,31.21898086860995
104,1636946580,1.14562,1.14565,1.1455899999999999,1.14564,11,6,0,2021-11-15 03:23:00,1.1456688888888893,1.1457095000000004,,29.301699693216655
105,1636946640,1.14564,1.14571,1.14564,1.14569,13,7,0,2021-11-15 03:24:00,1.1456555555555559,1.1456960000000005,,28.110289261440354
106,1636946700,1.14569,1.14569,1.1455899999999999,1.14567,13,5,0,2021-11-15 03:25:00,1.145636666666667,1.1456850000000005,,26.426211716453377
107,1636946760,1.14568,1.14569,1.14565,1.14569,12,6,0,2021-11-15 03:26:00,1.1456333333333335,1.1456815000000007,,24.86242542467976
108,1636946820,1.14569,1.1457,1.14565,1.14567,9,5,0,2021-11-15 03:27:00,1.1456344444444448,1.1456775000000006,,23.52207761651394
109,1636946880,1.14567,1.14569,1.14564,1.14566,20,5,0,2021-11-15 03:28:00,1.145644444444445,1.1456785000000005,,22.146053251835323
110,1636946940,1.14564,1.14569,1.14562,1.14569,20,5,0,2021-11-15 03:29:00,1.145663333333334,1.1456835000000005,,20.600189864006058
111,1636947000,1.1457,1.1458599999999999,1.1457,1.1458599999999999,21,5,0,2021-11-15 03:30:00,1.1456866666666672,1.1456880000000005,,20.926420203786318
112,1636947060,1.1458599999999999,1.1458599999999999,1.14575,1.14575,11,5,0,2021-11-15 03:31:00,1.1457022222222226,1.1456910000000005,,21.229348376439418
113,1636947120,1.14574,1.1457600000000001,1.14562,1.14564,14,5,0,2021-11-15 03:32:00,1.1457022222222226,1.1456895000000005,,19.89935782045179
114,1636947180,1.14562,1.14567,1.14562,1.14566,4,5,0,2021-11-15 03:33:00,1.1456988888888893,1.1456880000000005,,18.66436658989185
115,1636947240,1.14565,1.14565,1.14558,1.14558,5,5,0,2021-11-15 03:34:00,1.1456888888888894,1.1456790000000006,,17.58768439400684
116,1636947300,1.1455899999999999,1.1456,1.14558,1.1455899999999999,6,5,0,2021-11-15 03:35:00,1.1456777777777782,1.1456680000000004,,16.587908069256475
117,1636947360,1.1456,1.14563,1.1455899999999999,1.1455899999999999,9,5,0,2021-11-15 03:36:00,1.1456688888888893,1.1456555000000004,,15.516060008532985
118,1636947420,1.14558,1.1456,1.14551,1.14555,24,5,0,2021-11-15 03:37:00,1.1456566666666672,1.1456470000000003,,15.204788031454893
119,1636947480,1.14554,1.14556,1.14554,1.14556,5,5,0,2021-11-15 03:38:00,1.1456422222222227,1.1456420000000003,,14.915749767025234
120,1636947540,1.14556,1.14557,1.14547,1.14553,27,5,0,2021-11-15 03:39:00,1.1456055555555562,1.1456400000000004,,15.363829224014632
121,1636947600,1.14552,1.14555,1.14551,1.14555,16,6,0,2021-11-15 03:40:00,1.145583333333334,1.1456415000000004,,15.779903005504789
122,1636947660,1.14556,1.14556,1.14552,1.14552,5,5,0,2021-11-15 03:41:00,1.1455700000000006,1.1456350000000004,,16.00730472942774
123,1636947720,1.14553,1.14555,1.14551,1.14551,11,5,0,2021-11-15 03:42:00,1.145553333333334,1.1456300000000004,,16.33070808297003
124,1636947780,1.14552,1.14552,1.1454900000000001,1.1454900000000001,4,6,0,2021-11-15 03:43:00,1.145543333333334,1.1456225000000004,,16.858576174354663
125,1636947840,1.1455,1.1455,1.1454900000000001,1.1454900000000001,4,5,0,2021-11-15 03:44:00,1.145532222222223,1.1456125000000001,,17.34873940206897
126,1636947900,1.1455,1.1456,1.1454900000000001,1.1455899999999999,14,5,0,2021-11-15 03:45:00,1.145532222222223,1.1456085000000003,,16.136913971453488
127,1636947960,1.1455899999999999,1.1456,1.14557,1.1456,6,5,0,2021-11-15 03:46:00,1.1455377777777784,1.145604,,15.011647500167685
128,1636948020,1.1455899999999999,1.14566,1.1455899999999999,1.14566,5,6,0,2021-11-15 03:47:00,1.1455488888888896,1.1456035000000002,,14.743982540850052
129,1636948080,1.14566,1.14573,1.14565,1.14569,14,5,0,2021-11-15 03:48:00,1.1455666666666675,1.1456050000000002,,15.301876717612632
130,1636948140,1.14569,1.1457600000000001,1.14569,1.14575,12,6,0,2021-11-15 03:49:00,1.1455888888888897,1.145608,,16.12674975612339
131,1636948200,1.1457600000000001,1.14579,1.14574,1.14579,16,5,0,2021-11-15 03:50:00,1.1456188888888896,1.1456045000000001,,17.18721429594921
132,1636948260,1.14578,1.14591,1.14578,1.14591,20,5,0,2021-11-15 03:51:00,1.1456633333333341,1.1456125000000001,,19.135197548276636
133,1636948320,1.14589,1.14596,1.1458599999999999,1.1458599999999999,23,5,0,2021-11-15 03:52:00,1.1457044444444453,1.1456235000000001,,21.26379662055304
134,1636948380,1.1458599999999999,1.1458599999999999,1.14579,1.1458,24,5,0,2021-11-15 03:53:00,1.1457388888888898,1.1456305000000002,,22.08766682481518
135,1636948440,1.1458,1.14587,1.14579,1.1458599999999999,13,5,0,2021-11-15 03:54:00,1.1457688888888897,1.1456445000000002,,22.931394040005895
